,train,val,test
0,K2400735-7 8#14,K2304032-13 14#7,K2304124-7 8#7
1,K2304422-19 20#7,K2400074-5 6#12,K2304406-1 2#15
2,K2304452-11 12#14,K2304748-3 4#15,K2303782-9 10#4
3,K2302760-11 12#2,K2304032-9 10#9,K2302100-3 4#1
4,K2301905-7 8#9,K2302661-11 12#4,K2303406-11 12#9
5,K2304019-21 22#9,K2304032-21#7,K2303406-3 4#9
6,K2400889-5 6#14,K2304032-11 12#7,K2304657-3 4#2
7,K2304642-3 4#2,K2302388-11 12#2,K2302639-5 6#4
8,K2304339-11 12#7,K2304032-17 18#7,K2304657-1 2#14
9,K2302461-9 10#1,K2305121-13 14#7,K2302885-7 8#1
10,K2304651-7 8#14,K2304032-15 16#9,K2304657-7 8#2
11,K2305160-11 12#7,K2400074-9 10#12,K2302680-7 8#4
12,K2400179-11 12#14,B2341327-1#11,K2303259-5 6#10
13,K2304119-9 10#9,K2400074-7 8#12,K2304657-9 10#2
14,K2304119-3 4#7,K2304748-9 10#15,K2302680-15 16#2
15,K2201770-11 12#9,K2304032-11 12#9,K2302614-21#4
16,K2301849-9 10#9,K2304032-17 18#9,K2304657-5 6#1
17,K2303342-5 6#9,K2302388-19 20#2,K2302614-17 18#4
18,K2400735-5 6#14,K2304748-11 12#10,K2302100-1 2#1
19,K2304720-11 12#14,K2305121-13 14#2,K2302680-9 10#4
20,K2305160-5 6#2,K2401904-13 14#9,B2404461-1#13
21,K2304246-15 16-HE#6,K2303826-3 4#5,K2303259-9 10#10
22,K2305177-7 8#2,K2302807-5 6#2,K2303259-3 4#10
23,K2304832-1 2#6,K2304748-11 12#15,K2302100-7 8#1
24,K2203698-3 4#11,K2304247-5 6#6,K2303406-7 8#9
25,K2302452-11 12#1,K2304247-5 6#9,K2302100-5 6#1
26,K2304651-11 12#2,K2304247-3 4#6,K2304406-7 8#14
27,"K2103031-3,4#14",K2304748-7 8#1,K2302614-21 #4
28,K2303061-11 12#15,K2304032-9 10#7,K2303782-7 8#4
29,S2316008-11 12#2,K2302388-15 16#2,B2341994-1#11
30,K2305160-9 10#2,K2304748-7 8#15,K2302885-5 6#1
31,K2304796-3 4#1,K2304032-19 20#7,K2303810-5 6#5
32,K2303552-15 16#6,K2400074-11 12#12,K2302639-9 10#4
33,K2302105-13 14#7,K2304748-9 10#10,K2303406-9 10#9
34,K2400889-11 12#14,K2304748-5 6#15,K2302614-19 20#4
35,K2302495-1 2#9,K2303826-7 8#5,K2303782-5 6#4
36,K2303552-13 14#6,K2302388-17 18#2,K2304657-9 10#14
37,K2305040-3 4#1,K2304032-19 20#9,K2304657-5 6#2
38,K2303558-13 14#7,K2302807-9 10#2,K2302680-11 12#2
39,K2302344-9 10#2,K2303826-1 2#5,K2302639-3 4#4
40,K2304642- 5-HE#2,K2303942-13 14#4,K2304657-7 8#14
41,K2302216-1 2#6,K2304247-3 4#9,K2304657-3 4#1
42,B2343929-5#13,K2302807-7 8#2,K2304406-3 4#15
43,K2304422-5 6#7,"K2103911-5,6#9",K2302639-7 8#4
44,K2302760-13 14#2,K2304247-9 10#9,K2303782-11 12#4
45,K2301605-3 4#10,K2304032-15 16#7,K2302680-17 18#2
46,"K2103031-1,2#14",K2302661-5 6#4,K2303259-7 8#10
47,K2304796-9 10#1,K2302661-9 10#4,K2304657-1 2#2
48,K2305040-3 4#7,K2303826-5 6#5,K2303259-1 2#10
49,K2304308-7 8#14,K2302807-3 4#2,K2304406-5 6#14
50,K2304642-7 8#2,S2321173-1 2#1,K2302614-15 16#4
51,K2301605-9 10#10,K2401904-9 10#9,K2303406-5 6#9
52,K2301605-5 6#10,K2302661-7 8#4,K2304406-9 10#15
53,K2302105-9 10#7,K2304247-1 2#9,K2302680-13 14#2
54,K2303014-17 18#2,K2304247-7 8#14,
55,K2303851-9 10#4,K2302388-13 14#2,
56,K2304422-7 8#15,K2304247-9 10#14,
57,K2302182-15 16#6,K2401904-11 12#9,
58,K2302495-7 8#1,K2400074-1 2#12,
