,train,val,test
0,K2302495-7 8#1_16,K2302661-5 6#4_9,B2343929-5#13_12
1,K2302139-7 8#6_27,K2301605-5 6#10_11,K2302013-9 10#1_28
2,K2301846-17 18#9_19,K2201770-5 6#12_12,K2302013-3 4#1_32
3,K2302536-1 2#1_7,K2302661-7 8#4_10,B2343929-3#13_10
4,K2302503-5 6#1_11,K2201770-11 12#12_13,K2302614-21 #4_17
5,K2302100-3 4#1_26,K2201770-11 12#9_25,K2301905-5 6#9_8
6,B2342006-1#13_1,K2301605-3 4#10_13,"K2103669-9,10#14_6"
7,K2302260-1 2#2_30,K2201770-1 2#12_10,K2302614-17 18#4_20
8,K2302495-7 8#9_3,K2301605-7 8#10_12,K2302013-5 6#1_30
9,K2302215-5 6#6_11,K2302661-3 4#4_8,K2302247-11 12#2_31
10,K2302344-7 8#2_20,K2302661-11 12#4_12,K2302614-21#4_18
11,K2301849-11 12#9_15,K2201770-7 8#12_8,K2302013-7 8#1_29
12,K2302503-9 10#1_9,K2301605-1 2#10_14,"K2103669-5,6#14_8"
13,K2302495-3 4#9_5,K2302661-9 10#4_11,K2301905-7 8#9_7
14,K2302139-1 2#6_30,K2201770-3 4#9_33,K2301905-11 12#9_5
15,B2342925-1#13_5,B2345897-1#13_15,"K2103669-1,2#14_10"
16,K2302461-13 14#1_20,K2301605-9 10#10_10,K2302614-15 16#4_21
17,K2302536-3 4#1_6,K2102463#14_4,"K2103669-3,4#14_9"
18,K2300418-7 8#10_18,K2102463#14_8,K2302614-19 20#4_19
19,K2302495-9  #1_12,K2201770-1 2#9_32,K2301905-9 10#9_6
20,K2302495-9  #9_7,K2201770-3 4#12_9,K2302760-13 14#2_20
21,K2301846-15 16#9_18,K2303640-3 4#4_23,K2303264-13 14#10_12
22,K2301896-17 18#9_10,"K2103911-5,6#9_31",K2302760-3 4#2_25
23,B2341327-1#11_31,K2201770-9 10#9_23,K2303264-11 12#10_13
24,B2346277-2#13_16,K2303640-9 10#4_31,K2302760-11 12#2_21
25,K2200642-3 4#12_22,"K2103911-5,6#14_1",K2303264-9 10#10_14
26,K2302536-7 8#1_4,K2201770-7 8#9_34,B2343929-4#13_11
27,K2302105-17 18#7_1,K2201770-5 6#9_24,K2302760-7 8#2_23
28,K2301828-7 8#9_27,K2303640-5 6#4_33,K2302760-5 6#2_24
29,K2302260-3 4#2_29,K2303640-3 4#4_34,K2303264-5 6#10_16
30,K2302216-1 2#6_7,K2303640-7 8#4_21,B2343929-1  2  3-HE#13_9
31,K2302495-3 4#1_14,HZ234314-HE#5_13,"K2103669-7,8#14_7"
32,K2302495-9 10#9_2,K2303640-7 8#4_32,K2303264-15 16#10_11
33,K2301849-9 10#9_16,K2201770-9 10#12_11,
34,B2347868-1#13_17,,
35,K2302216-7 8#6_3,,
36,K2302639-3 4#4_16,,
37,K2302536-5 6#1_5,,
38,K2203437-15 16#11_17,,
39,K2301896-15 16#9_9,,
40,K2302536-9 10#1_3,,
41,K2302182-11 12#6_18,,
42,K2302216-9 10#6_8,,
43,"K2103031-1,2#14_25",,
44,K2203698-7 8#11_9,,
45,K2301846-23 24#9_22,,
46,K2302366-7 8#2_13,,
47,K2302495-5 6#1_15,,
48,K2203437-17#11_16,,
49,K2301846-19 20#9_20,,
50,B2341317-1#11_30,,
51,K2201945-7 8#12_5,,
52,K2302139-3 4#6_29,,
53,K2201945-13 14#12_2,,
54,K2302388-19 20#2_2,,
55,K2202988-3 4#11_33,,
56,K2202988-1 2#11_34,,
57,K2200642-5 6#12_21,,
58,K2302139-5 6#6_28,,
59,K2302366-5 6#2_14,,
60,K2302216-3 4#6_6,,
61,K2302494-9 10#1_18,,
62,K2200642-7 8#12_20,,
63,K2302536-13 14#1_1,,
64,K2203813-5 6#11_5,,
65,K2301896-11 12#9_11,,
66,HZ234043-120  -HE#14_22,,
67,K2301846-25 26#9_23,,
68,K2302215-1 2#6_13,,
69,K2301849- 9#9_13,,
70,K2202988-7 8#11_31,,
71,K2201945-11 12#12_3,,
72,K2302495-1 2#1_13,,
73,K2201945-3 4#12_7,,
74,K2302216-11 12#6_4,,
75,B2404461-1#13_21,,
76,B2337974-3#11_18,,
77,K2203698-11 12#11_11,,
78,K2302000-5 6#9_4,,
79,K2201945-5 6#12_6,,
80,K2302182-19 20#6_14,,
81,K2302536-11 12#1_2,,
82,K2203698-13 14#11_12,,
83,K2302503-11 12#1_8,,
84,K2302182-15 16#6_16,,
85,K2302139-21 22#6_24,,
86,K2302215-3 4#6_12,,
87,K2302105-7 8#7_6,,
88,K2301896-13 14#9_12,,
89,K2202988-9 10#11_30,,
90,K2300418-7 8#11_28,,
91,K2203813-11 12#11_2,,
92,K2302105-13 14#7_3,,
93,K2203813-9 10#11_4,,
94,K2302100-5 6#1_25,,
95,B2348252-1#13_18,,
96,K2301828-9 10#9_26,,
97,B2341994-1#11_33,,
98,K2203437-13 14#11_18,,
99,K2302503-7 8#1_10,,
100,K2302344-11 12#2_18,,
101,B2340214-3#11_28,,
102,K2302182-17 18#6_15,,
103,"K2103031-7,8#14_22",,
104,K2301846-21 22#9_21,,
105,K2302388-17 18#2_3,,
106,K2302495-5 6#9_4,,
107,K2302215-7 8#6_10,,
108,K2203698-3 4#11_7,,
109,K2302388-15 16#2_4,,
110,K2301828-3 4#9_29,,
111,B2339536-1#11_24,,
112,K2203813-13 14#11_1,,
113,K2302100-7 8#1_24,,
114,K2302366-3 4#2_15,,
115,K2301846-29 30#9_24,,
116,K2302260-7 8#2_27,,
117,K2302461-7 8#1_23,,
118,K2301846-27 28#9_25,,
119,K2302639-9 10#4_13,,
120,K2301828-5 6#9_28,,
