,train,val,test
B2318573-2 #11,True,False,False
B2337974-3#11,True,False,False
B2340214-3#11,True,False,False
B2343929-5#13,True,False,False
B2343929-4#13,True,False,False
B2343929-3#13,True,False,False
B2343929-1  2  3-HE#13,True,False,False
B2404461-1#13,True,False,False
"K2103031-3,4#14",True,False,False
"K2103031-1,2#14",True,False,False
"K2103031-7,8#14",True,False,False
"K2103031-5,6#14",True,False,False
K2201770-11 12#9,True,False,False
K2201770-3 4#12,True,False,False
K2201770-11 12#12,True,False,False
K2201770-7 8#12,True,False,False
K2201770-1 2#9,True,False,False
K2201770-9 10#9,True,False,False
K2201770-7 8#9,True,False,False
K2201770-9 10#12,True,False,False
K2201770-1 2#12,True,False,False
K2201770-5 6#9,True,False,False
K2201770-3 4#9,True,False,False
K2201770-5 6#12,True,False,False
K2201945-7 8#12,True,False,False
K2201945-5 6#12,True,False,False
K2201945-11 12#12,True,False,False
K2201945-13 14#12,True,False,False
K2201945-3 4#12,True,False,False
K2201945-15 16#12,True,False,False
K2201945-9 10#12,True,False,False
K2202988-1 2#11,True,False,False
K2202988-5 6#11,True,False,False
K2202988-3 4#11,True,False,False
K2202988-9 10#11,True,False,False
K2202988-7 8#11,True,False,False
K2203698-3 4#11,True,False,False
K2203698-7 8#11,True,False,False
K2203698-1 2#11,True,False,False
K2203698-11 12#11,True,False,False
K2203698-5 6#11,True,False,False
K2203698-9 10#11,True,False,False
K2203698-13 14#11,True,False,False
K2203813-13 14#11,True,False,False
K2203813-9 10#11,True,False,False
K2203813-11 12#11,True,False,False
K2203813-5 6#11,True,False,False
K2300418-7 8#11,True,False,False
K2300418-7 8#10,True,False,False
K2301605-3 4#10,True,False,False
K2301605-9 10#10,True,False,False
K2301605-5 6#10,True,False,False
K2301605-1 2#10,True,False,False
K2301605-7 8#10,True,False,False
K2301846-29 30#9,True,False,False
K2301846-23 24#9,True,False,False
K2301846-25 26#9,True,False,False
K2301846-15 16#9,True,False,False
K2301846-27 28#9,True,False,False
K2301846-19 20#9,True,False,False
K2301846-21 22#9,True,False,False
K2301846-17 18#9,True,False,False
K2302000-7 8#9,True,False,False
K2302000-5 6#9,True,False,False
K2302100-3 4#1,True,False,False
K2302100-1 2#1,True,False,False
K2302100-7 8#1,True,False,False
K2302100-5 6#1,True,False,False
K2302105-13 14#7,True,False,False
K2302105-9 10#7,True,False,False
K2302105-17 18#7,True,False,False
K2302105-11 12#7,True,False,False
K2302105-15 16#7,True,False,False
K2302105-7 8#7,True,False,False
K2302139-1 2#6,True,False,False
K2302139-7 8#6,True,False,False
K2302139-9 10#6,True,False,False
K2302139-19 20#6,True,False,False
K2302139-3 4#6,True,False,False
K2302139-5 6#6,True,False,False
K2302139-21 22#6,True,False,False
K2302215-9 10#6,True,False,False
K2302215-5 6#6,True,False,False
K2302215-3 4#6,True,False,False
K2302215-1 2#6,True,False,False
K2302215-7 8#6,True,False,False
K2302216-1 2#6,True,False,False
K2302216-3 4#6,True,False,False
K2302216-11 12#6,True,False,False
K2302216-7 8#6,True,False,False
K2302216-5 6#6,True,False,False
K2302216-9 10#6,True,False,False
K2302247-9 10#6,True,False,False
K2302247-11 12#2,True,False,False
K2302247-5 6#2,True,False,False
K2302260-5 6#2,True,False,False
K2302260-7 8#2,True,False,False
K2302260-9 10#2,True,False,False
K2302260-3 4#2,True,False,False
K2302260-1 2#2,True,False,False
K2302366-16 17#2,True,False,False
K2302366-9 10#2,True,False,False
K2302366-1 2#2,True,False,False
K2302366-7 8#2,True,False,False
K2302366-3 4#2,True,False,False
K2302366-18 19#2,True,False,False
K2302366-5 6#2,True,False,False
K2302388-11 12#2,True,False,False
K2302388-19 20#2,True,False,False
K2302388-15 16#2,True,False,False
K2302388-17 18#2,True,False,False
K2302388-13 14#2,True,False,False
K2302388-21 22#2,True,False,False
K2302494-9 10#1,True,False,False
K2302494-11 12#1,True,False,False
K2302494-7 8#1,True,False,False
K2302639-5 6#4,True,False,False
K2302639-9 10#4,True,False,False
K2302639-3 4#4,True,False,False
K2302639-7 8#4,True,False,False
K2302661-11 12#4,True,False,False
K2302661-5 6#4,True,False,False
K2302661-9 10#4,True,False,False
K2302661-7 8#4,True,False,False
K2302661-3 4#4,True,False,False
K2302755-7 8#2,True,False,False
K2302755-13 14#2,True,False,False
K2302755-9 10#2,True,False,False
K2302755-11 12#2,True,False,False
K2302755-5 6#2,True,False,False
K2302760-11 12#2,True,False,False
K2302760-13 14#2,True,False,False
K2302760-3 4#2,True,False,False
K2302760-5 6#2,True,False,False
K2302760-7 8#2,True,False,False
K2302885-7 8#1,True,False,False
K2302885-5 6#1,True,False,False
K2303061-11 12#15,True,False,False
K2303061-19#7,True,False,False
K2303061-9 10#9,True,False,False
K2303061-15 16#15,True,False,False
K2303061-19#2,True,False,False
K2303061-15 16#7,True,False,False
K2303061-17 18#7,True,False,False
K2303061-17 18#15,True,False,False
K2303061-11 12#7,True,False,False
K2303061-13 14#7,True,False,False
K2303061-13 14#15,True,False,False
K2303545-11 12#7,True,False,False
K2303545-9 10#7,True,False,False
K2303545-13 14#7,True,False,False
K2303545-7 8#7,True,False,False
K2303640-9 10#4,True,False,False
K2303640-5 6#4,True,False,False
K2303640-3 4#4,True,False,False
K2303640-7 8#4,True,False,False
K2303773-21 22#4,True,False,False
K2303773-29 30#4,True,False,False
K2303773-25 26#4,True,False,False
K2303773-17 18#4,True,False,False
K2303773-31 32#4,True,False,False
K2303773-27 28#4,True,False,False
K2303773-19 20#4,True,False,False
K2303773-23 24#4,True,False,False
K2303773-15 16#4,True,False,False
K2303782-9 10#4,True,False,False
K2303782-7 8#4,True,False,False
K2303782-5 6#4,True,False,False
K2303782-11 12#4,True,False,False
K2303810-5 6#5,True,False,False
K2303814-15 #5,True,False,False
K2303814-20 21#5,True,False,False
K2303814-13 14#5,True,False,False
K2303814-18 19#5,True,False,False
K2303814-9 10#5,True,False,False
K2303814-11 12#5,True,False,False
K2303814-16 17#5,True,False,False
K2303826-3 4#5,True,False,False
K2303826-7 8#5,True,False,False
K2303826-1 2#5,True,False,False
K2303826-5 6#5,True,False,False
K2304032-13 14#7,True,False,False
K2304032-9 10#9,True,False,False
K2304032-21#7,True,False,False
K2304032-11 12#7,True,False,False
K2304032-17 18#7,True,False,False
K2304032-15 16#9,True,False,False
K2304032-11 12#9,True,False,False
K2304032-17 18#9,True,False,False
K2304032-9 10#7,True,False,False
K2304032-19 20#7,True,False,False
K2304032-19 20#9,True,False,False
K2304032-15 16#7,True,False,False
K2304032-13 14#9,True,False,False
K2304086-7 8#9,True,False,False
K2304097-16 17#7,True,False,False
K2304097-1 2#7,True,False,False
K2304097-18#7,True,False,False
K2304097-7 8#9,True,False,False
K2304119-9 10#9,True,False,False
K2304119-3 4#7,True,False,False
K2304119-5 6#9,True,False,False
K2304119-9 10#7,True,False,False
