,train,val,test
0,B2318573-2 #11,B2337974-3#11,K2303558-13 14#7
1,B2341317-1#11,K2302100-3 4#1,K2303558-11 12#7
2,"K2103669-9,10#14",K2302100-1 2#1,K2303558-15 16#7
3,"K2103669-3,4#14",K2302100-7 8#1,K2304452-11 12#14
4,"K2103669-1,2#14",K2302100-5 6#1,K2304452-1 2#13
5,"K2103669-5,6#14",B2404461-1#13,K2304452-17 18#14
6,"K2103669-7,8#14",K2303061-11 12#15,K2304452-1 2#14
7,K2200642-3 4#12,K2303061-19#7,K2304452-9 10#14
8,K2200642-7 8#12,K2303061-9 10#9,K2304452-7 8#14
9,K2200642-5 6#12,K2303061-15 16#15,K2304452-5 6#14
10,K2201770-11 12#9,K2303061-19#2,K2304452-19 20#13
11,K2201770-3 4#12,K2303061-15 16#7,K2304452-17 18#13
12,K2201770-11 12#12,K2303061-17 18#7,K2304452-15 16#13
13,K2201770-7 8#12,K2303061-17 18#15,K2304452-3 4#13
14,K2201770-1 2#9,K2303061-11 12#7,K2304452-13 14#14
15,K2201770-9 10#9,K2303061-13 14#7,K2304452-15 16#14
16,K2201770-7 8#9,K2303061-13 14#15,K2304452-3 4#14
17,K2201770-9 10#12,K2304720-11 12#14,K2304452-19 20#14
18,K2201770-1 2#12,K2304720-5 6#1,S2316008-11 12#2
19,K2201770-5 6#9,K2304720-5 6#14,S2316008-9 10#2
20,K2201770-3 4#9,K2304720-7 8-HE#14,S2316008-19 -HE#2
21,K2201770-5 6#12,K2304720-9 10#14,S2316008-7 8#2
22,K2201945-7 8#12,K2304720-7 8-HE#1,S2316008-5 6#2
23,K2201945-5 6#12,K2304720-9 10#1,S2316008-23 24-HE#2
24,K2201945-11 12#12,K2304720-3 4#1,S2316008-17 18#2
25,K2201945-13 14#12,K2304720-3 4#7,S2316008-21 22#2
26,K2201945-3 4#12,K2301605-3 4#10,S2316008-19 20#2
27,K2201945-15 16#12,K2301605-9 10#10,S2316008-3 -HE#2
28,K2201945-9 10#12,K2301605-5 6#10,"K2103031-3,4#14"
29,K2202988-1 2#11,K2301605-1 2#10,"K2103031-1,2#14"
30,K2202988-5 6#11,K2301605-7 8#10,"K2103031-7,8#14"
31,K2202988-3 4#11,B2343929-5#13,"K2103031-5,6#14"
32,K2202988-9 10#11,B2343929-4#13,K2304308-7 8#14
33,K2202988-7 8#11,B2343929-3#13,K2304308-3 4#14
34,K2203698-3 4#11,B2343929-1  2  3-HE#13,K2304308-13 14#14
35,K2203698-7 8#11,K2303814-15 #5,K2304308-5 6#14
36,K2203698-1 2#11,K2303814-20 21#5,K2304308-9 10#14
37,K2203698-11 12#11,K2303814-13 14#5,K2304308-11 12#14
38,K2203698-5 6#11,K2303814-18 19#5,K2304308-15 16#14
39,K2203698-9 10#11,K2303814-9 10#5,K2303406-11 12#9
40,K2203698-13 14#11,K2303814-11 12#5,K2303406-3 4#9
41,K2203813-13 14#11,K2303814-16 17#5,K2303406-7 8#9
42,K2203813-9 10#11,K2304306-9 10#14,K2303406-9 10#9
43,K2203813-11 12#11,K2304306-9 10#9,K2303406-5 6#9
44,K2203813-5 6#11,K2303552-15 16#6,B2340214-3#11
45,K2301846-29 30#9,K2303552-13 14#6,K2300418-7 8#11
46,K2301846-23 24#9,K2303552-11 12#6,K2300418-7 8#10
47,K2301846-25 26#9,K2303552-9 10#6,K2303942-13 14#4
48,K2301846-15 16#9,K2304642-3 4#2,K2303342-5 6#9
49,K2301846-27 28#9,K2304642- 5-HE#2,K2303342-7%HE#9
50,K2301846-19 20#9,K2304642-7 8#2,K2303342-3 4#9
51,K2301846-21 22#9,K2304642-5 6#2,K2302983-38 39#2
52,K2301846-17 18#9,K2304642- 5-HE#14,K2302983-40#2
53,K2301849-9 10#9,K2304642-5 6#14,K2302983-19 20#2
54,K2301849-13 14#9,K2304642- 4-HE#2,K2302983-1 2#2
55,K2301849- 9#9,K2304642- 4-HE#14,K2302983-21 22#2
56,K2301849-11 12#9,K2304642-9 10#2,K2302983-23 24#2
57,K2302000-7 8#9,K2304642-9 10#14,K2302983-36 37#2
58,K2302000-5 6#9,K2304642-3 4#14,B2339536-1#11
59,K2302105-13 14#7,K2304642-1 2#1,B2341327-1#11
60,K2302105-9 10#7,K2304642-7 8#14,K2203437-15 16#11
61,K2302105-17 18#7,K2302503-5 6#1,K2203437-13 14#11
62,K2302105-11 12#7,K2302503-7 8#1,K2203437-17#11
63,K2302105-15 16#7,K2302503-9 10#1,
64,K2302105-7 8#7,K2302503-11 12#1,
65,K2302139-1 2#6,K2304246-15 16-HE#6,
66,K2302139-7 8#6,K2304246-15 16-HE#9,
67,K2302139-9 10#6,K2304019-21 22#9,
68,K2302139-19 20#6,K2304019-11 12#9,
69,K2302139-3 4#6,K2304019-9 10#9,
70,K2302139-5 6#6,K2304019-5 6#9,
71,K2302139-21 22#6,K2304019-7 8#9,
72,K2302215-9 10#6,K2304019-3 4#9,
73,K2302215-5 6#6,K2304019-1 2#9,
74,K2302215-3 4#6,,
75,K2302215-1 2#6,,
76,K2302215-7 8#6,,
77,K2302216-1 2#6,,
78,K2302216-3 4#6,,
79,K2302216-11 12#6,,
80,K2302216-7 8#6,,
81,K2302216-5 6#6,,
82,K2302216-9 10#6,,
83,K2302247-9 10#6,,
84,K2302247-11 12#2,,
85,K2302247-5 6#2,,
86,K2302260-5 6#2,,
87,K2302260-7 8#2,,
88,K2302260-9 10#2,,
89,K2302260-3 4#2,,
90,K2302260-1 2#2,,
91,K2302366-16 17#2,,
92,K2302366-9 10#2,,
93,K2302366-1 2#2,,
94,K2302366-7 8#2,,
95,K2302366-3 4#2,,
96,K2302366-18 19#2,,
97,K2302366-5 6#2,,
98,K2302388-11 12#2,,
99,K2302388-19 20#2,,
100,K2302388-15 16#2,,
101,K2302388-17 18#2,,
102,K2302388-13 14#2,,
103,K2302388-21 22#2,,
104,K2302494-9 10#1,,
105,K2302494-11 12#1,,
106,K2302494-7 8#1,,
107,K2302495-1 2#9,,
108,K2302495-7 8#1,,
109,K2302495-7 8#9,,
110,K2302495-5 6#9,,
111,K2302495-9  #1,,
112,K2302495-9  #9,,
113,K2302495-3 4#9,,
114,K2302495-9 10#9,,
115,K2302495-5 6#1,,
116,K2302495-1 2#1,,
117,K2302495-3 4#1,,
118,K2302639-5 6#4,,
119,K2302639-9 10#4,,
120,K2302639-3 4#4,,
121,K2302639-7 8#4,,
122,K2302661-11 12#4,,
123,K2302661-5 6#4,,
124,K2302661-9 10#4,,
125,K2302661-7 8#4,,
126,K2302661-3 4#4,,
127,K2302755-7 8#2,,
128,K2302755-13 14#2,,
129,K2302755-9 10#2,,
130,K2302755-11 12#2,,
131,K2302755-5 6#2,,
132,K2302760-11 12#2,,
133,K2302760-13 14#2,,
134,K2302760-3 4#2,,
135,K2302760-5 6#2,,
136,K2302760-7 8#2,,
137,K2302879-5 6#1,,
138,K2302879-9 10#1,,
139,K2302879-7 8#1,,
140,K2302885-7 8#1,,
141,K2302885-5 6#1,,
142,K2303429-10 %HE#9,,
143,K2303429-21 22#9,,
144,K2303429-7 8#9,,
145,K2303429-11 12#9,,
146,K2303429-1 2#9,,
147,K2303429-3 4#9,,
148,K2303429-9 10#9,,
149,K2303429-5 6#9,,
150,K2303545-11 12#7,,
151,K2303545-9 10#7,,
152,K2303545-13 14#7,,
153,K2303545-7 8#7,,
154,K2303640-9 10#4,,
155,K2303640-5 6#4,,
156,K2303640-3 4#4,,
157,K2303640-7 8#4,,
158,K2303773-21 22#4,,
159,K2303773-29 30#4,,
160,K2303773-25 26#4,,
161,K2303773-17 18#4,,
162,K2303773-31 32#4,,
163,K2303773-27 28#4,,
164,K2303773-19 20#4,,
165,K2303773-23 24#4,,
166,K2303773-15 16#4,,
167,K2303782-9 10#4,,
168,K2303782-7 8#4,,
169,K2303782-5 6#4,,
170,K2303782-11 12#4,,
171,K2303810-5 6#5,,
172,K2303826-3 4#5,,
173,K2303826-7 8#5,,
174,K2303826-1 2#5,,
175,K2303826-5 6#5,,
176,K2304032-13 14#7,,
177,K2304032-9 10#9,,
178,K2304032-21#7,,
179,K2304032-11 12#7,,
180,K2304032-17 18#7,,
181,K2304032-15 16#9,,
182,K2304032-11 12#9,,
183,K2304032-17 18#9,,
184,K2304032-9 10#7,,
185,K2304032-19 20#7,,
186,K2304032-19 20#9,,
187,K2304032-15 16#7,,
188,K2304032-13 14#9,,
189,K2304079-7 8#9,,
190,K2304086-7 8#9,,
191,K2304097-16 17#7,,
192,K2304097-1 2#7,,
193,K2304097-18#7,,
194,K2304097-7 8#9,,
195,K2304119-9 10#9,,
196,K2304119-3 4#7,,
197,K2304119-5 6#9,,
198,K2304119-9 10#7,,
199,K2304119-7 8#9,,
200,K2304119-7 8#7,,
201,K2304119-3 4#9,,
202,K2304119-5 6#7,,
203,K2304119-1 2#9,,
204,K2304243-11 12#6,,
205,K2304247-5 6#6,,
206,K2304247-5 6#9,,
207,K2304247-3 4#6,,
208,K2304247-3 4#9,,
209,K2304247-9 10#9,,
210,K2304247-1 2#9,,
211,K2304247-7 8#14,,
212,K2304247-9 10#14,,
213,K2304247-7 8#9,,
214,K2304339-11 12#7,,
215,K2304339-7 8#7,,
216,K2304339-9 10#7,,
217,K2304339-1 2#7,,
218,K2304339-5 6#7,,
219,K2304339-3 4#7,,
220,K2304382-19 20#7,,
221,K2304382-11 12#7,,
222,K2304382-13 14#7,,
223,K2304382-15 16#7,,
224,K2304382-21#7,,
225,K2304382-9 10#7,,
226,K2304382-17 18#7,,
227,K2304386-3 4#7,,
228,K2304386-9 10#7,,
229,K2304386-11 12#14,,
230,K2304386-1 2#7,,
231,K2304386-11 12#7,,
232,K2304386-7 8#14,,
233,K2304386-9 10#14,,
234,K2304386-5 6#7,,
235,K2304386-7 8#7,,
236,K2304422-19 20#7,,
237,K2304422-5 6#7,,
238,K2304422-7 8#15,,
239,K2304422-19 20#13,,
240,K2304422-17 18#7,,
241,K2304422-17 18#15,,
242,K2304422-15 16#7,,
243,K2304422-11 12#7,,
244,K2304422-21 22#13,,
245,K2304422-3 4#7,,
246,K2304422-21 22#7,,
247,K2304422-9 10#7,,
248,K2304422-1 2#7,,
249,K2304422-7 8#7,,
250,K2304422-13 14#7,,
251,K2304651-7 8#14,,
252,K2304651-11 12#2,,
253,K2304651-17 18#14,,
254,K2304651-19 #14,,
255,K2304651-13 14#2,,
256,K2304651-7 8#2,,
257,K2304651-13 14#14,,
258,K2304651-11 12#14,,
259,K2304651-19 #2,,
260,K2304651-15 16#14,,
261,K2304651-15 16#2,,
262,K2304651-17 18#2,,
263,K2304657-3 4#2,,
264,K2304657-1 2#14,,
265,K2304657-7 8#2,,
266,K2304657-9 10#2,,
267,K2304657-5 6#1,,
268,K2304657-9 10#14,,
269,K2304657-5 6#2,,
270,K2304657-7 8#14,,
271,K2304657-3 4#1,,
272,K2304657-1 2#2,,
273,K2304748-3 4#15,,
274,K2304748-9 10#15,,
275,K2304748-11 12#10,,
276,K2304748-11 12#15,,
277,K2304748-7 8#1,,
278,K2304748-7 8#15,,
279,K2304748-9 10#10,,
280,K2304748-5 6#15,,
281,K2304748-13 14#1,,
282,K2304796-3 4#1,,
283,K2304796-9 10#1,,
284,K2304796-5 6#10,,
285,K2304796-11 12#10,,
286,K2304796-5 6#1,,
287,K2304796-11 12#1,,
288,K2304796-3 4#10,,
289,K2304796-7 8#1,,
290,K2304796-7 8#10,,
291,K2304796-13 14#1,,
292,K2304796-9 10#10,,
293,K2304832-1 2#6,,
294,K2304832-5 6#1,,
295,K2304832-3 4#6,,
296,K2304832-3 4#1,,
297,K2304832-7 8#6,,
298,K2304832-1 2#1,,
299,K2304832-7 8#1,,
300,K2304832-9 10#1,,
301,K2304832-5 6#6,,
302,K2305040-3 4#1,,
303,K2305040-3 4#7,,
304,K2305040-11 12#7,,
305,K2305040-11 12#1,,
306,K2305040-7 8#7,,
307,K2305040-1 2#1,,
308,K2305040-5 6#7,,
309,K2305040-7 8#1,,
310,K2305040-1 2#7,,
311,K2305040-9 10#7,,
312,K2305160-11 12#7,,
313,K2305160-5 6#2,,
314,K2305160-9 10#2,,
315,K2305160-9 10#7,,
316,K2305160-5 6#7,,
317,K2305160-3 4#7,,
318,K2305160-1 2#7,,
319,K2305160-11 12#2,,
320,K2305160-7 8#7,,
321,K2305160-7 8#2,,
322,K2305209-11 12#2,,
323,K2305209-1 2#11,,
324,K2305209-5 6#11,,
325,K2305209-7 8#11,,
326,K2305209-3 4#11,,
327,K2305209-9 10#2,,
328,K2305209-13 14#11,,
329,K2305209-13 14#2,,
330,K2305209-7 8#2,,
331,K2305209-11 12#11,,
332,K2305209-9 10#11,,
333,K2400074-5 6#12,,
