,train,val,test
0,K2302216-1 2#6,B2340214-3#11,K2304422-3 4#7
1,K2304796-5 6#1,K2303061-13 14#15,K2304247-1 2#9
2,K2400179-5 6#1,K2305209-9 10#11,K2400889-9 10#14
3,K2203813-11 12#11,K2304832-5 6#6,K2302215-3 4#6
4,K2401798-15 16#9,K2304651-15 16#14,K2303782-11 12#4
5,K2302100-1 2#1,K2302879-9 10#1,K2304452-19 20#14
6,S2306913-7 8#6,K2304422-9 10#7,K2303782-7 8#4
7,K2302260-1 2#2,S2314036-15 16#2,K2304832-3 4#6
8,K2302139-9 10#6,K2305209-7 8#11,"K2103031-7,8#14"
9,K2201770-1 2#12,K2302495-7 8#1,K2304657-3 4#1
10,K2304452-15 16#14,K2302139-7 8#6,K2304720-5 6#14
11,K2401904-9 10#9,K2302661-7 8#4,K2301846-21 22#9
12,B2343929-3#13,K2400179-7 8#14,K2303814-11 12#5
13,K2302639-9 10#4,K2302105-11 12#7,S2316008-3 -HE#2
14,K2301846-29 30#9,K2202988-9 10#11,K2302247-9 10#6
15,K2201945-11 12#12,K2303773-15 16#4,K2302105-15 16#7
16,K2304452-3 4#14,K2301849-13 14#9,K2202988-3 4#11
17,"K2103031-5,6#14",K2302366-3 4#2,K2304720-9 10#1
18,K2305040-1 2#1,K2203698-11 12#11,K2304339-3 4#7
19,K2401798-9 10#9,K2302215-7 8#6,K2304796-7 8#10
20,K2400735-5 6#14,S2314036-7 8#2,K2304452-3 4#13
21,K2304452-11 12#14,K2305160-7 8#7,K2304657-1 2#2
22,K2303640-3 4#4,K2303558-11 12#7,K2304748-13 14#1
23,K2302216-5 6#6,K2303773-27 28#4,K2304382-9 10#7
24,K2304247-3 4#6,K2302139-19 20#6,K2302879-5 6#1
25,K2303814-15 #5,K2304308-5 6#14,K2301605-5 6#10
26,K2304032-11 12#9,K2304119-5 6#9,B2337974-3#11
27,K2303814-9 10#5,K2400889-13 14#14,K2305040-11 12#1
28,S2311210-2 #2,K2201945-13 14#12,K2202988-1 2#11
29,K2301605-1 2#10,K2304386-9 10#14,K2203813-9 10#11
30,K2303814-13 14#5,K2304308-11 12#14,K2305209-9 10#2
31,K2304832-9 10#1,K2302661-3 4#4,K2304308-13 14#14
32,K2304651-7 8#14,K2400735-13 14#14,K2305160-9 10#2
33,K2304339-5 6#7,K2305209-13 14#11,S2034127#9
34,K2304386-9 10#7,K2201770-5 6#9,K2303814-18 19#5
35,K2201945-5 6#12,K2304796-3 4#10,K2305160-1 2#7
36,K2400179-11 12#14,K2304422-19 20#13,K2304032-9 10#9
37,K2301849- 9#9,S2314036-13 14#2,K2301605-7 8#10
38,K2302661-5 6#4,K2304247-9 10#9,K2304651-11 12#2
39,K2400889-5 6#14,K2301849-11 12#9,K2304748-9 10#15
40,K2304748-7 8#1,S2306913-3 4#6,K2304119-3 4#7
41,K2305040-7 8#1,K2400889-17 18#14,K2304247-9 10#14
42,K2304086-7 8#9,K2304382-21#7,K2304748-3 4#15
43,K2302260-9 10#2,K2301849-9 10#9,K2302388-17 18#2
44,K2302755-5 6#2,K2303773-19 20#4,K2302260-3 4#2
45,K2302755-13 14#2,K2303558-15 16#7,K2302885-5 6#1
46,K2304748-11 12#10,K2304651-19 #14,K2305209-7 8#2
47,K2304119-5 6#7,K2304386-7 8#7,K2302661-11 12#4
48,K2304748-5 6#15,K2203698-9 10#11,K2400074-11 12#12
49,K2401904-13 14#9,K2304796-11 12#1,K2200642-3 4#12
50,K2304382-17 18#7,K2303545-13 14#7,K2303782-5 6#4
51,B2404461-1#13,K2304748-9 10#10,K2304720-11 12#14
52,K2302885-7 8#1,K2304422-21 22#13,K2302760-13 14#2
53,K2201770-7 8#12,K2304422-15 16#7,K2305160-9 10#7
54,K2203698-13 14#11,K2304119-1 2#9,B2341317-1#11
55,K2304097-16 17#7,K2302495-1 2#9,K2304079-7 8#9
56,K2304657-5 6#1,K2201770-11 12#12,K2304119-9 10#9
57,K2302388-11 12#2,K2303773-21 22#4,K2303640-5 6#4
58,K2305040-11 12#7,K2400889-3 4#14,S2316008-19 -HE#2
59,K2304452-9 10#14,B2343929-1  2  3-HE#13,K2302247-11 12#2
60,K2400735-7 8#14,K2203813-5 6#11,K2303061-9 10#9
61,K2305040-3 4#1,K2304308-7 8#14,K2302639-3 4#4
62,K2304097-18#7,K2303429-1 2#9,K2302494-11 12#1
63,K2401798-13 14#9,K2305040-5 6#7,K2400889-15 16#14
64,K2301846-25 26#9,K2302755-7 8#2,K2304422-5 6#7
65,K2303773-23 24#4,K2304452-5 6#14,K2201945-15 16#12
66,K2304832-7 8#1,K2302494-7 8#1,K2301846-19 20#9
67,K2304657-5 6#2,K2304247-7 8#14,K2304386-11 12#14
68,K2301846-15 16#9,K2304032-15 16#7,K2302139-1 2#6
69,K2201770-1 2#9,K2302495-3 4#1,K2302755-9 10#2
70,K2305160-11 12#7,K2303429-7 8#9,K2304720-7 8-HE#14
71,K2304651-19 #2,K2302461-5 6#1,K2302366-16 17#2
72,S2306913-13 14#6,K2303166-13 14#10,K2102463#14
73,K2304452-13 14#14,K2302013-7 8#1,K2304406-3 4#15
74,K2302760-7 8#2,K2301905-7 8#9,S2321173-1 2#1
75,K2301846-27 28#9,K2303270-9 10#10,K2301896-13 14#9
76,K2300418-7 8#10,K2302614-15 16#4,K2302344-13 14#2
77,K2303773-31 32#4,K2303014-19 20#2,S2307564-31 32#6
78,K2303773-25 26#4,K2304642-9 10#2,K2304406-1 2#15
79,K2303558-13 14#7,S2308524-3 34#4,B2339536-1#11
80,K2400735-17 18#14,K2303014-15 16#1,K2302452-11 12#1
81,K2303061-17 18#7,S2308752-23 24#4,K2303976-9 10#4
82,K2203698-5 6#11,K2302182-9 10#6,K2303977-19 20-HE#4
83,K2304657-9 10#14,B2342006-1#13,K2301896-11 12#9
84,K2302247-5 6#2,K2303552-13 14#6,K2304124-7 8#7
85,K2304097-7 8#9,K2304406-5 6#14,K2302680-17 18#2
86,K2304651-15 16#2,K2303776-5 6#4,K2302983-1 2#2
87,K2201945-7 8#12,K2302614-17 18#4,K2301896-15 16#9
88,K2302366-7 8#2,K2301905-9 10#9,S2307564-19 20#6
89,K2302388-21 22#2,K2302503-11 12#1,K2302614-21#4
90,K2302495-9  #1,K2303517-5 6#7,K2305121-13 14#2
91,K2304720-3 4#1,K2304406-7 8#14,K2303800-9 10#5
92,K2200642-5 6#12,K2302182-17 18#6,K2303977-5 6#4
93,K2400735-15 16#14,K2302452-9 10#1,K2303259-7 8#10
94,K2304032-19 20#9,K2303270-11 12#10,K2303264-15 16#10
95,K2400735-9 10#14,K2304246-15 16-HE#6,K2304642-7 8#2
96,K2202988-5 6#11,K2302503-9 10#1,K2203437-17#11
97,K2302105-9 10#7,S2308752-21 22#4,K2303977-13 14#4
98,K2302366-5 6#2,K2303259-5 6#10,K2302536-11 12#1
99,S2306913-5 6#6,K2302807-7 8#2,K2303517-7 8#7
100,K2304422-7 8#7,K2302867-5 6#1,K2302182-19 20#6
101,S2316008-19 20#2,,K2302680-11 12#2
102,K2305040-7 8#7,,K2301905-11 12#9
103,K2304339-11 12#7,,
104,S2316008-7 8#2,,
105,S2316008-17 18#2,,
106,K2304032-11 12#7,,
107,K2401798-7 8#9,,
108,K2302000-5 6#9,,
109,K2401904-11 12#9,,
110,K2302366-9 10#2,,
111,"K2103031-1,2#14",,
112,K2304452-15 16#13,,
113,K2302139-3 4#6,,
114,K2304832-1 2#6,,
115,B2343929-5#13,,
116,K2304386-5 6#7,,
117,"K2103669-1,2#14",,
118,K2304119-9 10#7,,
119,K2304119-7 8#9,,
120,K2302639-5 6#4,,
121,S2316008-11 12#2,,
122,K2303406-5 6#9,,
123,K2304422-11 12#7,,
124,K2303429-5 6#9,,
125,S2316008-5 6#2,,
126,K2302760-5 6#2,,
127,K2304452-17 18#14,,
128,K2304119-3 4#9,,
129,K2303061-19#2,,
130,K2302639-7 8#4,,
131,K2302215-1 2#6,,
132,K2303429-3 4#9,,
133,K2303545-7 8#7,,
134,K2302388-19 20#2,,
135,K2304422-17 18#15,,
136,K2304452-7 8#14,,
137,K2302760-3 4#2,,
138,K2304651-13 14#2,,
139,K2302100-7 8#1,,
140,K2302879-7 8#1,,
141,K2304247-7 8#9,,
142,K2304651-17 18#14,,
143,K2304339-9 10#7,,
144,K2302495-9  #9,,
145,K2302495-3 4#9,,
146,K2304657-9 10#2,,
147,K2203698-1 2#11,,
148,"K2103669-9,10#14",,
149,K2303061-19#7,,
150,K2304032-9 10#7,,
151,"K2103669-5,6#14",,
152,K2302215-5 6#6,,
153,K2302216-3 4#6,,
154,S2034127#7,,
155,K2304382-13 14#7,,
156,K2303640-7 8#4,,
157,K2303640-9 10#4,,
158,K2304422-17 18#7,,
159,K2304032-21#7,,
160,K2302495-9 10#9,,
161,S2314036-17 18#2,,
162,K2304422-19 20#7,,
163,K2201770-3 4#9,,
164,K2302755-11 12#2,,
165,K2304657-1 2#14,,
166,K2304720-3 4#7,,
167,K2301846-23 24#9,,
168,S2314036-9 10#2,,
169,B2343929-4#13,,
170,K2304386-3 4#7,,
171,K2302495-1 2#1,,
172,K2302366-18 19#2,,
173,K2303061-17 18#15,,
174,K2400074-1 2#12,,
175,K2304386-7 8#14,,
176,K2304386-1 2#7,,
177,K2305209-3 4#11,,
178,K2302000-7 8#9,,
179,K2303773-29 30#4,,
180,K2302100-3 4#1,,
181,K2304657-3 4#2,,
182,K2305040-9 10#7,,
183,K2304452-1 2#14,,
184,K2304452-17 18#13,,
185,K2304657-7 8#14,,
186,K2203698-7 8#11,,
187,K2302260-7 8#2,,
188,K2301605-3 4#10,,
189,S2316008-21 22#2,,
190,K2304651-13 14#14,,
191,K2303429-21 22#9,,
192,K2304796-9 10#10,,
193,K2305040-1 2#7,,
194,K2302494-9 10#1,,
195,K2303406-3 4#9,,
196,K2305209-11 12#11,,
197,K2304382-19 20#7,,
198,K2304032-13 14#7,,
199,K2302216-9 10#6,,
200,K2304032-17 18#9,,
201,K2400735-11 12#14,,
202,K2304651-7 8#2,,
203,K2302495-5 6#1,,
204,K2305040-3 4#7,,
205,K2304382-11 12#7,,
206,K2401904-15 16#9,,
207,K2304651-11 12#14,,
208,K2303061-11 12#7,,
209,K2304832-1 2#1,,
210,K2301605-9 10#10,,
211,K2303545-11 12#7,,
212,K2302495-5 6#9,,
213,K2302216-11 12#6,,
214,K2201945-9 10#12,,
215,K2303814-20 21#5,,
216,K2305209-5 6#11,,
217,K2304832-5 6#1,,
218,K2303061-13 14#7,,
219,K2304308-15 16#14,,
220,K2202988-7 8#11,,
221,K2203813-13 14#11,,
222,K2304339-7 8#7,,
223,K2400074-5 6#12,,
224,K2304247-3 4#9,,
225,K2305209-13 14#2,,
226,K2303782-9 10#4,,
227,K2203698-3 4#11,,
228,K2304422-1 2#7,,
229,K2303429-10 %HE#9,,
230,K2303406-9 10#9,,
231,K2304651-17 18#2,,
232,K2305160-5 6#2,,
233,K2303810-5 6#5,,
234,B2318573-2 #11,,
235,K2201770-9 10#12,,
236,K2201770-3 4#12,,
237,K2303545-9 10#7,,
238,K2304796-7 8#1,,
239,K2304422-13 14#7,,
240,K2400074-3 4#12,,
241,K2302216-7 8#6,,
242,K2401798-17 18-HE#9,,
243,K2302388-15 16#2,,
244,K2303061-15 16#7,,
245,K2302139-5 6#6,,
246,K2304452-19 20#13,,
247,K2300418-7 8#11,,
248,K2303429-11 12#9,,
249,K2303061-15 16#15,,
250,S2314036-5 6#2,,
251,K2303826-1 2#5,,
252,K2305160-3 4#7,,
253,K2301846-17 18#9,,
254,K2304243-11 12#6,,
255,K2304720-5 6#1,,
256,K2302105-17 18#7,,
257,K2305209-11 12#2,,
258,K2303406-11 12#9,,
259,K2304720-9 10#14,,
260,K2304422-21 22#7,,
261,S2314036-11 12#2,,
262,K2303061-11 12#15,,
263,K2302260-5 6#2,,
264,K2304032-17 18#7,,
265,K2304832-3 4#1,,
266,K2304247-5 6#6,,
267,S2306913-9 10#6,,
268,K2304748-7 8#15,,
269,K2302139-21 22#6,,
270,K2400074-9 10#12,,
271,K2303826-5 6#5,,
272,K2304796-13 14#1,,
273,K2302215-9 10#6,,
274,S2316008-9 10#2,,
275,K2400889-19 20#14,,
276,K2304308-9 10#14,,
277,K2200642-7 8#12,,
278,K2304796-11 12#10,,
279,K2304119-7 8#7,,
280,K2304382-15 16#7,,
281,K2400074-7 8#12,,
282,K2303429-9 10#9,,
283,K2304308-3 4#14,,
284,K2303814-16 17#5,,
285,K2303773-17 18#4,,
286,K2305160-5 6#7,,
287,K2304796-9 10#1,,
288,K2304720-7 8-HE#1,,
289,S2311210-1 2#2,,
290,K2201770-11 12#9,,
291,K2304748-11 12#15,,
292,K2305160-7 8#2,,
293,K2304422-7 8#15,,
294,K2305209-1 2#11,,
295,K2304386-11 12#7,,
296,K2303406-7 8#9,,
297,K2201770-7 8#9,,
298,K2305160-11 12#2,,
299,K2302105-7 8#7,,
300,K2400889-11 12#14,,
301,K2400889-7 8#14,,
302,K2201770-5 6#12,,
303,S2306913-11 12#6,,
304,K2302366-1 2#2,,
305,"K2103669-3,4#14",,
306,K2302388-13 14#2,,
307,S2316008-23 24-HE#2,,
308,K2201945-3 4#12,,
309,K2304796-5 6#10,,
310,K2304032-15 16#9,,
311,K2302760-11 12#2,,
312,K2304247-5 6#9,,
313,K2201770-9 10#9,,
314,K2304097-1 2#7,,
315,"K2103031-3,4#14",,
316,K2304796-3 4#1,,
317,K2400179-9 10#14,,
318,K2304657-7 8#2,,
319,K2302100-5 6#1,,
320,K2304032-19 20#7,,
321,K2304339-1 2#7,,
322,K2304832-7 8#6,,
323,K2302661-9 10#4,,
324,K2304032-13 14#9,,
325,K2302495-7 8#9,,
326,K2303826-3 4#5,,
327,K2303826-7 8#5,,
328,K2304452-1 2#13,,
329,"K2103669-7,8#14",,
330,K2302105-13 14#7,,
331,K2302983-36 37#2,,
332,K2302461-3 4#1,,
333,K2302503-7 8#1,,
334,K2302878-13 14#1,,
335,B2348252-1#13,,
336,K2303851-9 10#4,,
337,S2307564-15 32#6,,
338,K2302182-15 16#6,,
339,K2302807-5 6#2,,
340,S2307564-17 18#6,,
341,"K2103911-5,6#9",,
342,HZ234043-120  -HE#14,,
343,K2303259-1 2#10,,
344,K2303014-11 12#1,,
345,K2302536-7 8#1,,
346,K2305177-7 8#11,,
347,K2302867-1 2#1,,
348,K2304642-1 2#1,,
349,K2302536-9 10#1,,
350,K2303259-3 4#10,,
351,K2302182-11 12#6,,
352,K2305121-13 14#7,,
353,K2302344-9 10#2,,
354,K2304814-11 12#1,,
355,K2304642- 4-HE#2,,
356,K2304246-15 16-HE#9,,
357,K2302867-9 10#1,,
358,B2341327-1#11,,
359,K2304642- 5-HE#14,,
